"from","to","weight"
"Aleksandr Fritz","Kimberly Davis",2
"Aleksandr Fritz","Matthew Schofield",2
"Aleksandr Fritz","Shen-Shyang Ho",2
"Igor Kuralenok","Aleksandr Khvorov",2
"Aleksandr Khvorov","Julian Serdyuk",2
"Natalia Starikova","Aleksandr Khvorov",2
"Aleksey Charapko","Murat Demirbas",2
"Bilyana Taneva","Alessandra Sala",2
"Deepak Ajwani","Alessandra Sala",4
"Ghasem Heyrani-Nobari","Alessandra Sala",2
"Mirek Riedewald","Alessandra Sala",2
"Patrick K. Nicholson","Alessandra Sala",4
"Sourav Dutta 0001","Alessandra Sala",2
"Wolfgang Gatterbauer","Alessandra Sala",2
"Xiaofeng Yang","Alessandra Sala",2
"Cosimo Palazzo","Alessandro D'Anca",2
"Alessandro D'Anca","Dean N. Williams",2
"Donatello Elia","Alessandro D'Anca",2
"Alessandro D'Anca","Fabrizio Antonio",2
"Alessandro D'Anca","Giovanni Aloisio",2
